	H5Tub.HGU133A.Stanford373.Stanford373	H5Tub.HGU133A.Stanford374.Stanford374	H5Tub.HGU133A.Stanford375.Stanford375	H5Tub.HGU133A.Stanford378.Stanford378	H7Tub.HGU133Plus2.Stanford1164.Stanford1164	H7Tub.HGU133Plus2.Stanford1165.Stanford1165	H7Tub.HGU133Plus2.Stanford1166.Stanford1166	H7Tub.HGU133Plus2.Stanford1168.Stanford1168	H7Tub.HGU133Plus2.Stanford1169.Stanford1169	H7Tub.HGU133Plus2.Stanford1170.Stanford1170	H7Tub.HGU133Plus2.Stanford1171.Stanford1171	H7Tub.HGU133Plus2.Stanford1172.Stanford1172	H7Tub.HGU133Plus2.Stanford1173.Stanford1173	H7Tub.HGU133Plus2.Stanford1174.Stanford1174	H7Tub.HGU133Plus2.Stanford1175.Stanford1175	H7Tub.HGU133Plus2.Stanford1177.Stanford1177	H7Tub.HGU133Plus2.Stanford1178.Stanford1178	H7Tub.HGU133Plus2.Stanford1179.Stanford1179	H7Tub.HGU133Plus2.Stanford1180.Stanford1180	H7Tub.HGU133Plus2.Stanford1182.Stanford1182	H7Tub.HGU133Plus2.Stanford1183.Stanford1183	H7Tub.HGU133Plus2.Stanford1184.Stanford1184	H8Tub-HGU133Plus2-LD_Stanford1296-LD_Stanford1296_30_25	H8Tub-HGU133Plus2-LD_Stanford1298-LD_Stanford1298_30_103	H8Tub-HGU133Plus2-LD_Stanford1299-LD_Stanford1299_30_109	H8Tub-HGU133Plus2-LD_Stanford1301-LD_Stanford1301_30_131	H8Tub-HGU133Plus2-LD_Stanford1302-LD_Stanford1302_30_138	H8Tub-HGU133Plus2-LD_Stanford1303-LD_Stanford1303_30_142	H8Tub-HGU133Plus2-LD_Stanford1304-LD_Stanford1304_30_146	H8Tub-HGU133Plus2-LD_Stanford1305-LD_Stanford1305_30_147	H8Tub-HGU133Plus2-LD_Stanford1306-LD_Stanford1306_30_150	H1Tub.HGU133A.DNNULL.DN1	H1Tub.HGU133A.DNNULL.DN10	H1Tub.HGU133A.DNNULL.DN11	H1Tub.HGU133A.DNNULL.DN2	H1Tub.HGU133A.DNNULL.DN3	H1Tub.HGU133A.DNNULL.DN5	H1Tub.HGU133A.DNNULL.DN6	H1Tub.HGU133A.DNNULL.DN7	H1Tub.HGU133A.DNNULL.DN8	H1Tub.HGU133A.DNNULL.DN9	H7Tub.HGU133Plus2.DN1101.DN1101	H7Tub.HGU133Plus2.DN1108.DN1108	H7Tub.HGU133Plus2.DN1110.DN1110	H7Tub.HGU133Plus2.DN1114.DN1114	H7Tub.HGU133Plus2.DN1132.DN1132	H7Tub.HGU133Plus2.DN1133.DN1133	H7Tub.HGU133Plus2.DN1139.DN1139
ZNF22 	1.68465	1.42807	1.32154	1.09061	0.97725	1.5446	1.6765	1.48094	1.45224	1.33356	1.67657	1.30115	1.3606	1.54271	1.18463	1.23564	1.57691	1.3631	1.33642	1.4705	1.49925	1.5748	1.50347	1.87524	1.6581	1.42535	1.56435	1.71919	1.83579	1.72993	1.54876	1.72584	1.85056	1.55634	1.83782	1.82052	1.70814	1.73254	1.59631	1.63174	1.88393	1.83977	1.78111	1.96643	1.59044	1.41048	1.8028	1.77524
TPD52L1 	1.7647	1.57638	1.75882	1.4151	1.27292	1.76647	1.65716	1.57192	1.40384	1.45648	1.93312	1.62355	1.89376	1.9807	1.88602	1.04842	1.73229	2.03819	1.74546	1.48048	1.65185	1.48621	1.88161	2.3155	1.74644	2.24113	1.41009	1.97164	1.96372	2.34458	2.31609	2.08892	2.21749	2.07299	2.06811	2.50757	2.17613	2.50463	1.89582	1.83129	2.30893	2.12743	2.07039	2.50577	1.80616	1.88555	2.20161	2.54097
NAGK 	2.36008	2.31694	2.28498	2.16152	2.6025	2.47397	2.34045	2.49615	2.56624	2.4678	2.35494	2.27211	2.57251	2.38629	2.4221	2.32937	2.39821	2.4832	2.43087	2.47735	2.43038	2.57199	2.54244	2.82495	2.55835	2.32317	3.02583	2.37899	2.582	2.45822	2.37083	2.50203	2.56613	2.8437	2.86106	3.15695	2.52137	2.76804	2.49709	2.78509	2.64482	3.00233	2.74181	2.88407	2.93473	2.53389	2.90879	3.08018
RIT1 	0.28587	0.14298	0.16926	-0.13468	-0.3742	0.57124	0.09596	0.39822	0.09695	0.35091	0.00919	-0.07856	0.08905	0.23619	-0.59762	0.44573	0.49352	-0.09546	0.49378	0.36173	-0.01193	0.12251	0.47942	0.85139	0.6578	0.29855	0.16141	0.33947	0.42965	0.50597	0.38052	0.96058	0.17448	0.89087	0.49757	0.10923	0.75136	0.55264	0.37772	0.73747	0.49383	1.18859	1.18136	0.87681	1.1349	0.9287	0.83962	0.85579
CAPRIN1 	1.91661	1.71183	1.69282	1.34307	1.41276	1.88713	1.71497	1.83485	1.86648	1.74998	1.72791	1.76375	1.57045	1.96385	1.58691	1.58497	1.70391	1.63339	1.73568	1.84346	1.75481	1.79256	1.90934	2.09445	1.97042	1.84274	1.57634	1.93601	2.09275	1.88609	1.87591	1.93158	2.37801	1.93425	2.01799	1.9805	1.91513	2.03651	2.08216	2.01877	2.3752	2.16666	1.92041	1.96707	2.03914	1.81473	1.9437	1.88994
HLA-A 	5.15758	5.20785	5.65574	5.52419	5.67587	6.29558	5.93638	5.39612	6.3278	5.80863	6.08463	6.02307	5.73873	5.87215	5.88301	5.76965	5.23038	6.22684	5.91112	5.91209	5.94186	5.44402	6.05796	6.31795	6.27305	6.0463	5.69694	6.14179	6.25173	6.12192	6.09862	6.11564	6.92446	6.17296	6.23192	6.71967	6.28384	6.79065	5.98642	6.75438	6.67435	5.91927	6.22181	6.77433	5.93461	6.16622	6.51305	6.68397
CAP2 	0.33907	0.23968	0.48938	0.29719	0.50732	0.98162	0.49999	0.39649	0.85629	0.15461	0.73451	0.51913	0.96873	0.81343	-0.06471	0.78419	0.49509	0.6415	1.17664	0.47853	0.43623	0.35905	0.97035	1.21171	0.7875	0.91429	0.36362	0.63265	0.83973	1.25526	0.4594	0.8394	1.0769	0.91621	0.71494	1.01927	1.29731	1.42255	0.90201	0.82368	0.60123	1.51129	1.19738	1.01181	1.12437	1.08803	1.10938	0.98682
ADAM9 	2.27514	2.56352	2.22666	2.0189	1.00931	2.68508	2.14988	2.4367	2.41279	2.30432	2.2588	2.1806	2.00937	1.95722	1.62681	1.94198	2.35463	1.90348	2.44301	2.51223	2.33804	2.43352	3.16816	2.37832	2.79852	1.96568	2.42034	2.6174	2.2081	2.09556	2.95365	2.51733	3.20639	2.65185	2.60586	2.629	2.83315	3.0763	2.46352	2.71306	3.18572	3.15694	2.80982	2.82201	2.68304	2.20074	2.64356	2.78199
SHQ1 	0.82932	0.73561	0.86587	0.57266	0.64543	0.99534	0.85481	0.891	0.84045	0.91298	0.76319	0.74247	0.84409	1.0013	0.83855	0.86795	0.82705	0.95417	0.82082	0.83814	0.88354	0.73996	0.88235	0.85438	1.01424	0.95233	0.9139	0.9716	0.93916	0.89193	0.73661	0.88727	1.19987	1.20249	0.79703	1.15265	1.1529	0.96805	1.0428	1.05863	1.44366	1.16766	0.91609	1.18613	1.11378	0.97149	1.00999	1.06942
IQCA1 	-0.87749	-1.11771	-0.92442	-0.44023	-0.92016	-0.60872	-1.14165	-1.04917	-0.91645	-1.11936	-0.87627	-0.7443	-1.13948	-0.94328	-0.8652	-0.95043	-0.86223	-0.83624	-0.83683	-1.05227	-1.00256	-1.0881	-1.06805	-0.86066	-0.88046	-0.8336	-0.36869	-0.61629	-1.21369	-0.78392	-1.16195	-0.59861	-0.6485	-0.8165	-0.9193	-0.6404	-0.56993	-0.5555	-0.81779	-0.50428	-0.30883	-0.54681	-0.19609	-0.62462	-0.75761	-0.83743	-0.37765	-0.50336
DRAM1 	2.13516	2.46743	2.02123	1.9865	1.90965	2.68737	2.22933	2.40499	2.20717	2.4055	2.17165	2.00887	2.407	2.60861	2.21545	2.31863	2.39206	2.0321	2.48386	2.28151	2.4158	2.06813	2.18949	2.41049	2.71026	1.98274	2.05277	2.53087	2.44939	2.37544	2.10615	2.86312	2.65361	2.45917	2.56561	2.07446	2.86609	2.68774	2.35402	2.81584	2.5043	2.98894	2.38994	2.65554	2.7293	2.65015	2.75849	2.61381
RBM4 	2.44423	2.3195	2.43145	2.30081	2.45883	2.61224	2.66466	2.42345	2.71766	2.66292	2.26891	2.35808	2.39736	2.55215	1.90444	2.44794	2.28052	2.5315	2.36366	2.46068	2.48787	2.42034	2.39099	2.60972	2.54806	2.4653	2.80586	2.56861	2.75588	2.53075	2.39177	2.79408	2.70078	3.11692	2.70913	2.56603	2.76178	2.88588	2.50456	2.59029	2.78302	2.71162	2.41189	2.76605	2.81323	2.70209	2.94498	2.66502
UPF3B 	0.26307	0.0081	-0.20419	-0.41912	-0.59756	0.02308	-0.12627	0.10369	0.01814	-0.07612	0.20748	0.11052	-0.48627	-0.23886	-0.07841	-0.1967	0.22471	0.0276	0.0034	0.02119	-0.06452	0.04802	0.04415	0.39915	0.09043	-0.02773	0.42118	-0.15706	0.28254	-0.10481	0.22079	0.70851	0.30915	0.56586	0.66247	1.17233	0.86872	0.78343	0.30501	-0.32008	0.60602	0.50863	0.30165	0.37148	0.4104	0.21818	0.48387	0.21745
PCDH12 	-0.20709	0.20199	0.36635	0.60292	-0.06341	0.17239	0.24472	0.13149	-0.10643	0.28698	0	0.13666	-0.02136	0.04169	-0.01415	0.08161	-0.16748	0.22778	0.22725	-0.05569	0.0152	-0.12032	0.11106	-0.05208	0.0866	0.1216	-0.05518	-0.27991	0.09584	-0.15392	0.1036	0.02027	0.41783	0.61816	0.2191	0.11783	0.42652	0.22117	0.67244	0.37099	0.1651	0.26468	0.18956	0.5917	0.42869	0.52255	0.44647	0.29189
UBD 	0.01359	1.0322	0.44152	0.32751	-0.34398	0.94052	1.15335	0.09739	1.52206	-0.64214	0.96549	0.64621	1.29871	0.85531	0.63235	0.82921	0.31344	1.12565	0.62054	0.53709	0.93636	0.79186	1.74907	0.91602	2.09819	1.35955	0.20847	1.98179	0.47002	0.98397	0.61332	1.65312	2.12386	1.13695	1.32541	2.12391	1.27475	2.96052	1.07002	2.26297	0.80625	2.40069	1.36294	2.10206	0.95649	1.6173	2.21139	2.52024
PTEN 	0.39101	0.08661	0.30133	0.05119	-0.31337	0.5845	0.44615	0.38228	0.50783	0.50277	0.38401	0.52763	0.18935	0.6299	0.01252	0.27781	0.27039	0.42409	0.63562	0.47979	0.32188	0.37584	0.24824	0.48231	0.96878	0.3195	0.21903	0.62696	0.62941	0.56032	0.72193	0.66062	1.36159	0.56739	0.91471	0.58399	0.5176	1.34634	0.59505	0.65417	1.21175	0.88757	1.09797	1.23923	0.6835	0.70928	0.45806	1.00755
THBS2 	0.35396	0.28712	0.42581	0.10478	-0.03349	0.89376	3.20E-04	0.1781	0.20036	-0.44747	0.55808	0.72382	0.47566	-0.21071	1.59883	-0.64393	-0.78531	0.44912	1.18451	-0.04498	-0.02296	0.00103	1.78114	0.67892	0.64684	0.0887	-0.40047	0.64661	0.08569	2.62495	1.35703	0.51368	2.10318	2.59427	1.42716	2.15441	1.05806	3.3968	1.33658	1.00306	0.96431	2.28624	1.35884	2.78841	0.46382	0.89631	2.37159	2.22654
MNS1 	-1.13959	-0.8121	-0.94737	-1.12405	-2.14897	-0.30911	-1.01608	-1.33983	-0.62821	-1.10837	-1.62017	-0.79108	-0.84958	-0.46393	-1.16168	-0.67332	-1.23159	-1.00133	-0.55552	-1.19697	-1.23524	-1.0744	-0.59285	-0.49626	-0.27079	-0.69178	-0.44018	-0.82551	-1.07937	-0.85432	-0.85736	-0.75861	-0.55338	-0.33536	-0.35506	0.78159	-0.45103	0.34204	-0.88603	-0.35406	1.35367	0.13628	0.90319	0.54397	-0.50596	-0.09776	0.13604	0.19914
INTS9 	0.89462	0.50668	0.36532	0.19134	0.67452	0.62618	0.70992	0.55717	0.7973	0.41643	0.42678	0.44421	0.38803	0.7573	0.61978	0.35861	0.4858	0.38435	0.57523	0.59097	0.50608	0.45387	0.57795	0.72786	0.53855	0.68445	0.52306	0.75529	0.68325	0.72542	0.58653	0.80077	1.02668	0.84677	0.69433	1.1934	0.80706	0.83955	0.76254	0.74245	0.84351	0.92845	0.57596	0.60703	0.72697	0.60217	0.80924	0.9083
PJA1 	1.67374	1.54662	1.71888	1.47813	1.66066	2.10239	1.78243	1.6683	1.73266	1.86578	1.84649	1.89811	1.82236	1.85423	1.40653	1.68185	1.55514	2.11948	1.81485	1.74436	1.80881	1.74639	2.03962	1.92258	2.09587	2.05638	1.66956	1.99026	2.03955	1.73889	1.62695	1.91443	2.03291	2.3647	2.19453	1.93656	2.02201	2.4428	1.7925	2.02952	2.14381	2.32779	1.97742	2.561	1.89485	1.99959	2.40802	2.3925
COL4A2 	0.77165	0.9709	1.06997	0.56372	0.47104	1.59847	1.10494	1.14676	0.83485	0.80657	1.50678	1.36029	1.25955	0.97269	1.35381	1.09858	1.22966	0.92568	1.3456	1.01137	1.33976	1.06101	1.7486	1.17396	1.56495	1.65986	1.10611	1.23958	2.01872	1.51524	1.37805	1.25852	2.11129	2.42217	1.72833	2.13457	2.05093	3.08614	0.97744	1.54374	2.68869	2.24035	2.38018	2.48241	1.43283	1.37044	2.34585	2.35762
IFIT2 	-0.07732	-0.06424	0.0099	0.03796	0.05189	0.40123	-0.35497	0.06663	-0.07299	-5.00E-05	-0.15655	-0.30997	-0.39528	0.51016	-0.42627	-0.49424	-0.64028	-0.09619	0.03173	-0.38586	-0.19808	-0.44516	0.26185	0.5012	0.29915	-0.26543	-0.34234	0.10676	0.02156	0.00477	0.23544	0.02931	0.3972	-0.1847	0.44594	0.41428	0.87984	0.22842	0.22426	0.70405	0.0616	0.60766	0.45952	0.45542	0.60402	0.52487	1.37278	0.72265
VCAM1 	3.51479	4.34895	3.65938	2.61115	2.65605	4.71237	3.8605	4.30112	3.28156	2.47634	4.07283	4.31176	4.15112	4.0132	3.419	3.80085	3.04735	4.00676	3.97251	3.47815	4.10881	3.2853	5.08482	4.42115	4.56974	3.5361	3.4197	4.64035	4.01357	4.47913	3.47263	3.88882	5.69458	4.20899	4.15765	4.94545	5.37461	5.65108	3.54774	5.12121	4.78017	5.24182	4.54056	5.60298	4.2402	4.5517	5.31708	5.18849
FGL2 	1.76813	1.50899	1.58038	0.91619	0.76743	2.5528	1.50155	1.63411	1.78049	1.35458	1.78466	1.92564	0.97351	1.89551	1.62142	1.66104	1.6032	1.84744	1.59936	1.49607	1.83407	1.61022	1.11683	1.48177	1.99941	1.38736	1.8697	1.50643	1.56878	1.09295	0.98426	1.62476	3.44284	2.62162	2.82373	3.15034	3.71743	3.28232	0.85894	2.81031	1.93899	2.19224	2.52479	3.43898	2.22929	2.22543	3.07436	3.53367
BTN2A2 	-1.03128	-0.71245	-0.97755	-0.64302	-0.86475	-0.75715	-0.85494	-0.79829	-0.8229	-0.88606	-0.93809	-0.76677	-0.81721	-0.79738	-0.74521	-0.73759	-0.87614	-0.73235	-0.70621	-0.96799	-0.91975	-0.88408	-0.7763	-0.67263	-0.57189	-0.88924	-0.80656	-0.60831	-0.9368	-0.86281	-0.78169	-0.78987	-0.57346	-0.70698	-0.58898	-0.5401	-0.39726	-0.34724	-0.73208	-0.75011	-0.67829	-0.41346	-0.50361	-0.19623	-0.70087	-0.70706	-0.30632	-0.39127
UBP1 	0.91219	0.92947	0.92009	0.16181	-0.22125	0.69807	0.71423	0.81308	0.66026	0.60121	0.86708	0.98392	0.81399	0.71488	0.72452	0.91576	1.02545	0.50268	1.05542	0.83377	1.10893	0.75821	1.10999	0.9745	1.11462	0.85906	0.62005	0.81594	1.16658	0.77387	0.97203	1.05757	1.35724	1.11426	0.98574	1.80784	1.04302	1.0825	1.11348	0.89376	1.41248	1.00504	1.24304	1.2706	0.96496	0.99835	1.31195	1.17782
S100A13 	2.38939	2.01984	2.22635	2.06241	2.56589	3.12996	2.53914	2.41622	2.16144	2.38454	2.71492	2.68888	2.78012	2.33875	2.70409	2.70963	2.36803	3.42711	2.47659	2.50681	2.52179	2.63565	2.76402	3.23794	2.70275	2.84952	2.2042	3.02076	2.95429	2.997	3.09049	2.54879	3.31394	3.49328	3.14327	3.45873	3.38559	3.82069	2.59667	3.2204	4.30693	3.19973	3.13652	3.89247	2.8302	2.8444	3.88856	3.60172
TIMP1 	1.25626	0.46368	0.90647	0.79082	0.89178	2.66135	1.11671	1.52041	1.5987	1.19571	1.71253	1.74835	0.78035	1.03557	2.10792	1.25731	0.76802	2.24248	2.13432	0.67602	1.62663	1.49414	3.08042	1.34573	1.61962	2.65373	2.0651	1.97376	1.81384	2.66485	1.41858	1.84848	4.43848	3.25778	2.27657	3.64238	2.71619	4.93259	1.76813	3.14094	4.46977	2.75587	2.32806	4.24877	1.84698	1.72555	3.70134	4.21024
CHST15 	-0.38505	-0.4359	-0.20091	-0.86943	-0.56696	0.12659	-0.34612	-0.27953	-0.53345	-0.48317	-0.3381	0.01811	-0.47254	-0.46933	-0.39881	-0.73343	-0.87164	0.04454	0.24916	-1.08755	-0.45079	-0.46152	0.17679	0.14221	0.324	-0.18038	-0.68656	-0.20406	-1.0495	0.35091	-0.71793	0.28616	0.58175	-0.26148	1.3052	1.29831	0.40779	1.29842	0.01184	-0.19582	0.6458	0.34204	0.50246	1.16962	-0.00256	-0.47108	0.42653	1.15734
ZBED5 	2.33013	1.8626	2.05113	1.67058	1.64924	1.90541	2.20212	1.90454	2.11127	2.05437	2.22015	1.80568	1.67076	2.23864	1.95921	1.9688	2.2269	2.133	1.96437	2.03813	2.08913	1.94167	2.15485	2.10238	1.97196	2.22289	2.35806	2.23013	2.23672	2.40242	2.24751	2.56414	2.13642	2.22651	2.80556	3.10722	2.49324	2.59276	2.08934	1.99911	2.32419	2.58259	2.48932	2.67417	2.79556	2.3487	2.39566	2.451
YTHDC1 	1.3949	1.34945	1.29685	1.03316	1.20165	1.46951	1.42549	1.43231	1.35481	1.4585	1.42212	1.59491	1.5903	1.57247	1.59176	1.47801	1.35278	1.59633	1.42591	1.15081	1.44677	1.20106	1.6437	1.52472	1.48623	1.19972	1.62611	1.48022	1.39551	1.43709	1.428	1.84319	1.84316	1.63621	1.75435	2.19014	1.65325	1.98351	1.68649	1.30153	2.22399	1.46707	1.91712	2.00625	1.55734	1.52119	1.92218	1.79553
LYZ 	-2.05093	-1.8581	-1.94293	-2.03952	-1.73797	-0.5901	-1.69182	-0.41863	0.27213	-1.47825	-0.91117	-1.4719	-1.39498	-2.12113	-0.52043	-1.83353	-2.2642	-0.52086	-0.21147	-1.37831	-1.16462	-1.36517	0.15296	0.03061	1.81583	-1.08179	-1.20085	-0.81376	-1.37036	0.01626	-1.16882	-0.35204	3.66361	-0.38259	0.91345	3.97053	0.61819	3.63947	-1.17208	2.18921	0.69834	0.49278	1.58946	3.24219	0.73204	-0.87072	1.39799	3.47541
SRPK2 	0.46576	0.54185	0.30985	0.37966	0.21645	0.69682	0.59563	0.57641	0.44606	0.41755	0.5929	0.60996	0.32552	0.55947	0.21305	0.39532	0.51877	0.61536	0.57271	0.46317	0.4372	0.55238	0.60759	0.72091	0.93943	0.32682	0.40108	0.88379	0.51215	0.58712	0.54895	0.66818	1.21661	0.70883	0.66032	0.88771	0.73316	0.65751	0.67525	0.53954	0.75042	0.88634	0.83644	0.88375	0.68542	0.56167	0.73916	0.80111
ARHGAP29 	2.57157	2.54649	3.08337	2.10481	1.81693	3.49826	2.38822	2.73657	2.63082	2.47969	2.75933	2.74787	1.7084	3.03497	2.75324	2.55169	2.58548	2.65889	2.86805	2.6434	2.6329	2.46613	3.21522	2.80495	3.05333	2.73188	2.78954	2.73408	3.21501	2.757	2.65953	2.84101	3.30738	3.00801	2.86119	3.74427	3.37329	3.34786	2.86237	3.00218	4.36951	3.45822	3.25299	3.66458	2.94241	2.87605	3.62065	3.57372
TGFBI 	0.56438	0.78291	0.22068	0.58691	0.45806	1.31708	0.70042	0.40595	0.99087	0.65623	1.00587	1.10957	0.41444	0.09186	1.96352	0.62255	0.47243	0.74851	1.09447	0.3291	0.81339	0.70543	0.94749	1.93212	2.31762	1.17987	1.10389	0.90513	0.87126	1.76914	1.10064	1.01849	2.2522	2.05989	1.67228	3.29637	2.59859	3.4578	1.52541	1.71809	1.93985	1.37383	2.01582	3.30555	1.41784	0.70772	2.15055	3.14715
IGKC 	1.42368	2.27105	5.91463	3.51315	1.50113	3.5375	2.53244	5.39699	3.99426	1.19418	3.98001	4.10176	5.21301	0.91637	2.49583	3.13532	1.24273	4.41176	5.39241	0.9831	4.05974	2.3628	2.98418	4.55268	6.19615	2.73292	2.85891	2.35956	2.50471	4.29084	3.75014	3.8041	6.61127	4.72126	7.2306	7.68194	4.97355	8.16816	5.23399	7.31393	3.06964	6.13723	5.87135	7.24744	4.44173	3.3157	4.02765	7.04838
NMI 	0.38587	0.34128	0.05071	-0.04715	-0.46897	1.03113	0.4498	0.77309	0.63016	0.52712	0.70581	0.42665	0.55552	0.76582	0.51148	0.25574	0.35763	0.30339	0.68443	0.47297	0.61499	0.42117	0.90582	1.39786	1.47466	0.31187	0.9902	0.92852	0.78243	0.50854	0.40908	0.89204	1.51668	0.76713	0.92788	1.89466	1.47497	1.69393	0.36685	1.07361	2.11704	1.51465	1.36253	2.05746	0.92413	0.59924	1.30559	1.52379
AGGF1 	0.98836	0.94287	0.78372	0.76538	0.4564	1.2799	1.03601	1.07704	1.02047	1.01261	1.01836	0.84995	0.99119	1.17579	0.74087	1.00241	1.17019	0.72113	0.95221	1.00085	0.869	1.10158	1.21627	1.19406	1.16588	0.88084	1.03256	0.96912	1.14145	1.02835	1.06076	1.2919	1.09858	1.1993	1.23378	1.05888	1.52909	1.17078	1.10213	1.11792	1.22153	1.64878	1.32589	1.2232	1.56463	1.11656	1.17293	1.16963
GALNT1 	1.00515	1.11711	1.10106	0.88745	0.59589	1.44373	1.29785	1.18897	1.11255	0.95564	1.20691	1.2134	1.10371	1.18472	0.90575	0.97676	1.14056	1.07525	1.32386	1.11147	0.99371	1.04939	1.29992	1.85517	1.4945	0.92154	1.24365	1.3766	1.01875	1.35764	1.3126	1.36304	2.5174	1.77007	1.43339	1.98306	1.58461	2.41577	1.3936	1.35693	1.75872	1.92828	1.61467	2.05979	1.28082	1.32722	1.32802	1.84237
DEK 	2.83185	2.74391	2.73377	2.57866	1.72544	2.95822	2.63645	2.7688	2.86823	2.77982	2.81378	2.76347	2.49944	2.81558	2.37259	2.78564	2.66534	2.84364	2.76254	2.69331	2.86094	2.72351	3.02567	3.17266	3.20234	2.77448	2.79926	2.93672	3.13518	3.08259	3.0394	3.2543	3.44299	2.74557	3.27441	3.48179	3.28583	3.72006	2.61863	3.07856	3.49601	3.18102	3.2223	3.57293	2.9672	2.91529	3.13267	3.31637
EED 	-1.81004	-1.75058	-1.71467	-1.90593	-2.01683	-1.80295	-1.69452	-1.93428	-1.93245	-1.85616	-1.60277	-1.69981	-1.88061	-1.89677	-2.07079	-1.85721	-1.81344	-1.72926	-1.79735	-1.7396	-1.98323	-1.77978	-1.69417	-1.80428	-1.65765	-1.89311	-1.9435	-1.98231	-1.32807	-1.70591	-1.24447	-1.47775	-1.67448	-1.62272	-1.66463	-1.27024	-1.66724	-1.60392	-1.63876	-1.61767	-0.99615	-1.63425	-1.4693	-1.25603	-1.60792	-1.63279	-1.48799	-1.38323
DKC1 	1.35612	1.28863	1.29942	1.20702	1.21919	1.56939	1.45353	1.43446	1.48552	1.47816	1.319	1.41277	1.27823	1.52467	1.38426	1.29805	1.39889	1.52987	1.43475	1.48791	1.47003	1.26799	1.53788	1.85968	1.5234	1.26209	1.45497	1.61899	1.8265	1.5702	1.4407	1.51131	1.53469	1.75558	1.83203	1.85688	2.10354	1.73776	1.66244	1.72788	2.13657	1.6806	1.64302	1.6087	1.55666	1.46336	1.57694	1.76353
PRKCDBP 	-0.68431	-0.42132	-0.61195	-0.60959	-0.69534	-0.27694	-0.4781	-0.48228	-0.66039	-0.78106	-0.51793	-0.5745	-0.52282	-0.80162	-0.36017	-0.64425	-0.76908	-0.21043	-0.70731	-0.86134	-0.5327	-0.55407	-0.54413	0.19597	0.0524	-0.21908	-0.59222	-0.35634	-0.98774	-0.90517	-0.48738	-0.53075	-0.08332	0.22481	-0.11894	-0.03008	-0.32359	0.55587	-0.36148	-0.54289	0.29878	0.09134	-0.07591	0.4556	-0.39293	-0.31544	0.04883	-0.036
ZFYVE26 	-0.03643	0.02296	-0.40853	-0.36525	-0.23975	-0.16942	-0.13023	-0.20211	-0.22684	-0.13928	-0.17742	-0.16667	-0.39666	0.00515	-0.48203	-0.1561	-0.07007	-0.57888	-0.15413	-0.3039	-0.40322	-0.23065	-0.27697	-0.13805	0.06843	-0.13908	-0.06895	-0.00547	-0.18799	-0.13717	-0.0014	0.1247	-0.01376	0.15375	0.15816	0.1837	0.60753	0.09696	-0.03895	-0.03857	-0.22109	0.11609	0.19732	-0.03036	0.09137	-0.05581	-0.06499	-0.06064
CSTF2T 	0.51296	0.35171	0.37587	0.1462	-0.33985	0.08566	0.25351	0.40977	0.29661	0.38086	0.39607	0.17786	0.29443	0.6365	-0.25083	0.10903	0.21195	-0.0183	0.21652	0.49284	0.40846	0.52909	0.33134	0.50577	0.4488	0.20676	0.43215	0.37441	0.48412	0.11944	0.14196	0.72696	0.35164	0.35906	0.74344	0.74771	0.85913	0.52484	0.47186	0.35058	0.56895	0.46571	0.65096	0.70149	0.54552	0.60691	0.35827	0.34718
C1orf63 	1.58742	1.25043	1.48313	1.19492	0.58648	1.12217	1.50647	1.12822	1.10122	1.34649	2.12043	1.77954	1.29209	1.00291	1.66306	1.70057	1.88885	1.68279	1.55885	1.70819	1.12433	1.68631	1.83611	1.14127	1.29733	1.5073	1.72415	1.29451	2.05304	1.7433	1.99673	2.11282	2.02228	1.96565	2.08407	3.34101	2.47025	2.00791	1.71198	1.73108	1.79735	1.64776	1.78695	2.63384	1.97289	1.81516	2.33152	2.20598
NRP1 	0.03698	0.64967	0.57103	0.06936	-0.25512	1.34579	0.89827	1.0102	0.70878	0.80235	0.56595	0.54822	0.61729	0.83136	0.61149	0.2698	0.29068	0.32272	1.21852	0.83123	0.65538	0.56468	1.90662	1.36575	0.99827	0.16437	0.29924	0.77331	1.48837	1.33061	0.57997	1.00739	1.12643	0.93037	1.28425	1.11285	1.4663	1.81534	0.99039	1.2254	1.68956	1.65452	1.64239	1.45575	0.96949	0.54918	1.22352	1.47149
TSPAN13 	0.94209	1.02157	1.28398	0.15318	0.00853	1.44565	1.1632	1.39098	0.80589	1.25555	1.20612	1.35798	1.26562	1.31111	1.2108	1.26199	1.08855	1.80548	1.02793	0.76041	1.15453	1.43835	1.92267	1.7969	1.80695	1.89126	1.06926	2.00754	1.49428	1.79343	1.84837	1.38614	1.91192	2.3295	2.50765	3.32601	2.71365	3.47194	0.88349	2.11606	2.79449	2.05239	2.09953	3.39382	1.90432	1.47333	2.14298	2.7353
TRA2B 	1.18506	0.96561	1.08123	0.7886	0.38942	1.13817	1.0387	1.01044	1.19177	1.05624	0.84734	0.99126	1.12079	1.03521	0.84164	1.19071	1.02022	1.16808	1.07585	1.09727	0.8313	1.12161	1.21063	1.43205	1.23175	1.14008	1.5659	1.26883	1.43988	1.06176	1.11447	1.34805	1.52163	1.4594	1.4342	1.45045	1.71027	1.52907	1.37909	1.08723	1.40488	1.43823	0.96985	1.48002	1.32987	1.09244	1.28238	1.34817
